time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
28668.412,wf-chat-light-0012,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0034475000000000005,GENERATE_TEXT,,,,agent-shared-infra-59,1.0416666666666667,,,,105,,0.0,,,,,,,,,,,
28668.412,wf-chat-light-0012,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
28669.454,wf-chat-light-0012,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-59,,,,,,,,,,,,,,,,,,
28669.454,wf-chat-light-0012,agent-shared,LLM_DISPATCH,31881.93982564943,,0.0034475000000000005,GENERATE_TEXT,,,3212.4859574607935,,,,0.0,0.0,105,,,,,,,,,,,,,
29890.421,wf-tool-heavy-0053,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,194,,,,,,,,,,,,,
29890.421,wf-tool-heavy-0053,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,4,,,,0.014190000000000001,17510.185697876623,tool-heavy
30216.596,wf-chat-light-0013,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,142,,,,,,,,,,,,,
30216.596,wf-chat-light-0013,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,2,,,,0.00442,12210.325885080601,chat-light
30439.106,wf-chat-light-0011,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,196,,,,,,,,search-tool,,,,,
30439.106,wf-chat-light-0011,agent-shared,TOOL_DISPATCH,30591.457544775538,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,152.3515199760399,,,
30584.035,wf-chat-light-0008,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,151,,,,,,,,search-tool,,,,,
30584.035,wf-chat-light-0008,agent-shared,TOOL_DISPATCH,30748.121435186957,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,164.08672530956443,,,
30591.458,wf-chat-light-0011,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,981,4,,,,,,,
30591.458,wf-chat-light-0011,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0037425,GENERATE_TEXT,,,,agent-shared-infra-60,1.0416666666666667,,,,129,,0.0,,,,,,,,,,,
30591.458,wf-chat-light-0011,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
30592.499,wf-chat-light-0011,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-60,,,,,,,,,,,,,,,,,,
30592.499,wf-chat-light-0011,agent-shared,LLM_DISPATCH,36595.713335933775,,0.0037425,GENERATE_TEXT,,,6003.214124491569,,,,0.0,0.0,129,,,,,,,,,,,,,
